left,right
COL make VAL CESSNA COL model VAL A185 COL series VAL E COL name VAL SKYWAGON,COL make VAL CESSNA COL model VAL A185F
COL make VAL ZENAIR COL model VAL CH2000 COL series VAL UNDESIGNATED SERIES COL name VAL No Popular Name,COL make VAL COMMONWEALTH COL model VAL REARWIN 7000
COL make VAL BELL COL model VAL UH1 COL series VAL B COL name VAL IROQUOIS,COL make VAL BELL COL model VAL UH-1B
COL make VAL BOEING COL model VAL 747 COL series VAL 282B COL name VAL No Popular Name,COL make VAL BOEING COL model VAL 747-282B
COL make VAL CESSNA COL model VAL FRA150 COL series VAL L COL name VAL AEROBAT,COL make VAL IAI LTD COL model VAL GULFSTREAM G280
COL make VAL BOEING COL model VAL 747 COL series VAL 128 COL name VAL No Popular Name,COL make VAL VERTOL COL model VAL 107-II
COL make VAL ENSTROM COL model VAL 280 COL series VAL F COL name VAL No Popular Name,COL make VAL ENSTROM COL model VAL 280
COL make VAL BOEING COL model VAL 727 COL series VAL 44 COL name VAL No Popular Name,COL make VAL BOEING COL model VAL 727-2J0
COL make VAL DE HAVILLAND COL model VAL DHC7 COL series VAL 102 COL name VAL DASH 7,COL make VAL DEHAVILLAND COL model VAL DHC-7-103
COL make VAL EMBRAER COL model VAL ERJ170 COL series VAL 100SU COL name VAL No Popular Name,COL make VAL EMBRAER S A COL model VAL ERJ 170-200 STD
COL make VAL CHAMPION COL model VAL 402 COL series VAL NO SERIES EXISTS COL name VAL LANCER,COL make VAL SUPERIOR COL model VAL CULVER LCA
COL make VAL BOEING COL model VAL 767 COL series VAL 2AX COL name VAL No Popular Name,COL make VAL BOEING COL model VAL 767-300
COL make VAL BOEING COL model VAL 777 COL series VAL F28 COL name VAL No Popular Name,COL make VAL BOEING COL model VAL 777F28
COL make VAL VERTOL COL model VAL 42 COL series VAL A COL name VAL No Popular Name,COL make VAL VERTOL COL model VAL 42B
COL make VAL BEECH COL model VAL 65 COL series VAL A65 COL name VAL QUEEN AIR,COL make VAL BEECH COL model VAL A65-8200
COL make VAL BELL COL model VAL 412 COL series VAL EP COL name VAL No Popular Name,COL make VAL CESSNA COL model VAL T210N
COL make VAL BOEING COL model VAL 737 COL series VAL 71Q COL name VAL No Popular Name,COL make VAL BOEING COL model VAL 737-2E3
COL make VAL STINSON COL model VAL SR9 COL series VAL C COL name VAL RELIANT,COL make VAL LOCKHEED COL model VAL 382
COL make VAL BOEING COL model VAL 727 COL series VAL 264 COL name VAL No Popular Name,COL make VAL STINSON COL model VAL SR-5B
COL make VAL PIPER COL model VAL PA46 COL series VAL 500TP COL name VAL MALIBU MERIDIAN,COL make VAL PIPER COL model VAL PA 46-350P
COL make VAL PIPER COL model VAL PA31 COL series VAL 350 COL name VAL CHIEFTAIN,COL make VAL PIPER COL model VAL PA 31P 350
COL make VAL SIKORSKY COL model VAL S52 COL series VAL 2 COL name VAL No Popular Name,COL make VAL GRUMMAN COL model VAL F8F-2
COL make VAL BOEING COL model VAL 777 COL series VAL 323ER COL name VAL No Popular Name,COL make VAL BOEING COL model VAL 777F
COL make VAL BOEING COL model VAL 727 COL series VAL 116C COL name VAL No Popular Name,COL make VAL BOEING COL model VAL 727-254
COL make VAL AIR TRACTOR COL model VAL AT402 COL series VAL B COL name VAL No Popular Name,COL make VAL AIR TRACTOR INC COL model VAL AT-402B
COL make VAL PIPER COL model VAL PA28 COL series VAL 150 COL name VAL CHEROKEE 150,COL make VAL PIPER COL model VAL PA-28-180
COL make VAL DASSAULT COL model VAL FALCON 900EX COL series VAL NO SERIES EXISTS COL name VAL FALCON 900EX EASY,COL make VAL SOCATA COL model VAL TB21
COL make VAL KAMAN COL model VAL HH43 COL series VAL B COL name VAL HUSKIE,COL make VAL KAMAN COL model VAL HH-43B
COL make VAL FOKKER COL model VAL F27 COL series VAL 100 COL name VAL FRIENDSHIP,COL make VAL FOKKER COL model VAL F.27MK 100
COL make VAL TAYLORCRAFT COL model VAL F21 COL series VAL B COL name VAL No Popular Name,COL make VAL TAYLORCRAFT AVIATION CORP. COL model VAL F21
COL make VAL AIR TRACTOR COL model VAL AT802 COL series VAL A COL name VAL No Popular Name,COL make VAL AIR TRACTOR INC COL model VAL AT-802
COL make VAL BOMBARDIER COL model VAL BD500 COL series VAL 1A10 COL name VAL CS100,COL make VAL BOMBARDIER INC COL model VAL BD-700-1A10
COL make VAL BOEING COL model VAL 747 COL series VAL 227B COL name VAL No Popular Name,COL make VAL BOEING COL model VAL 747-409
COL make VAL BOEING COL model VAL 727 COL series VAL 2J7 COL name VAL No Popular Name,COL make VAL BOEING COL model VAL 737-2Q3
